taxon_name,gbif_id,decimal_longitude,decimal_latitude
Veronica_salicifolia,1843486462,171.936556,-41.590722
Veronica_salicifolia,1897843374,170.090889,-43.737722
Veronica_salicifolia,1897843421,167.79625,-45.276806
Veronica_salicifolia,930991567,-74.10013,4.6681
Veronica_salicifolia,994542238,145.16773,-41.93196
Veronica_salicifolia,438826880,55.43639,-20.95833
Veronica_salicifolia,1843397790,169.8,-44.2
Veronica_salicifolia,1091220442,-73.713333,-46.148333
Veronica_salicifolia,30870759,-4.95,38.560001
Veronica_salicifolia,1091285828,171.236666,-42.95
Veronica_salicifolia,1897730051,170.45,-43.183333
Veronica_salicifolia,1897838446,172.982639,-41.742183
Veronica_salicifolia,1897623265,170.283333,-43.266667
Veronica_salicifolia,1897623248,170.183333,-43.416667
Veronica_salicifolia,1091195514,172.323333,-41.683333
Veronica_salicifolia,895247562,1.85,42.13
Veronica_salicifolia,1050580686,-2.94,43.25
Veronica_salicifolia,1050580859,-2.93,43.27
Veronica_salicifolia,994552174,173.3,-42.9
Veronica_salicifolia,1091326610,170.605,-43.166666
Veronica_salicifolia,575070376,-73.366667,-45.9
Veronica_salicifolia,1091246213,173.716666,-42.3
Veronica_salicifolia,1091098470,167.2,-45.516666
Veronica_salicifolia,1091196324,172.533333,-42.716666
Veronica_salicifolia,1091310269,172.733333,-43.683333
Veronica_salicifolia,1091126214,172.833333,-43.083333
Veronica_salicifolia,1091186651,167.8,-45.633333
Veronica_salicifolia,1936436240,-8.7228,42.2159
Veronica_salicifolia,1936639784,-74.0333,-46.6833
Veronica_salicifolia,1851347869,-8.383,42.753
Veronica_salicifolia,1261179421,-67.23333,-16.96666
Veronica_salicifolia,1897831166,166.217083,-50.5335
Veronica_salicifolia,1936601674,-3.8048,43.4562
Veronica_salicifolia,994552255,171.33389,-42.11512
Veronica_salicifolia,415619365,-4.41105,36.72162
Veronica_salicifolia,1091273732,172.016666,-41.516666
Veronica_salicifolia,1897831059,172.290944,-42.776722
Veronica_salicifolia,1091231179,169.591666,-46.516666
Veronica_salicifolia,1897711218,171.316667,-42.233333
Veronica_salicifolia,995816384,172.67,-41.12
