family	allmb_name	gbif_species_key	num_occurrences	crop_state	myco_state	woody_state
Asteraceae	Hirpicium_bechuanense	3114489	290			derived
Asteraceae	Hirpicium_echinus	3114448	293			non-woody
Asteraceae	Grindelia_chiloensis	3146198	307			ancestral
Asteraceae	Argyroxiphium_sandwicense	3118115	308			derived
Asteraceae	Saussurea_nuda	5404462	314		neither	
Asteraceae	Senecio_pinifolius	8372099	314			derived
Asteraceae	Encelia_canescens	8035320	326			ancestral
Asteraceae	Gonospermum_fruticosum	3117131	330			derived
Asteraceae	Dubautia_ciliolata_subsp._glutinosa	3134942	333			ancestral
Asteraceae	Helichrysum_callicomum	3131224	339			derived
Asteraceae	Senecio_pubiger	3106831	342			derived
Asteraceae	Helichrysum_melanacme	3131968	347			derived
Asteraceae	Helichrysum_patulum	3131832	364			non-woody
Asteraceae	Centaurea_macrocephala	3129064	370			non-woody
Asteraceae	Pluchea_oblongifolia	3132628	377			derived
Asteraceae	Artemisia_marschalliana	6064178	388		arbuscular	
Asteraceae	Bidens_menziesii_subsp._menziesii	5392027	398			derived
Asteraceae	Sinclairia_discolor	5389382	408			ancestral
Asteraceae	Tanacetum_parthenifolium	3118514	410		neither	
Asteraceae	Culcitium_canescens	3108405	425			non-woody
Asteraceae	Gazania_lichtensteinii	3112467	431			non-woody
Asteraceae	Adenophyllum_porophyllum	3132238	436			non-woody
Asteraceae	Holocarpha_virgata	3091313	437			non-woody
Asteraceae	Arctotis_stoechadifolia	5406226	440			non-woody
Asteraceae	Sonchus_hierrensis	3105828	443			derived
Asteraceae	Porophyllum_viridiflorum	3103958	456			derived
Asteraceae	Psathyrotes_ramosissima	3100729	458			non-woody
Asteraceae	Launaea_sarmentosa	3144718	464			non-woody
Asteraceae	Helichrysum_glumaceum	3131195	468			derived
Asteraceae	Senecio_glastifolius	8419686	468			derived
Asteraceae	Scrobicaria_ilicifolia	3087088	489			derived
Asteraceae	Trichogonia_hirtiflora	5387739	503			derived
Asteraceae	Pluchea_dunlopii	3132615	511			derived
Asteraceae	Jurinea_mollis	6444162	517			non-woody
Asteraceae	Senecio_arenarius	8317215	522			non-woody
Asteraceae	Pleiacanthus_spinosus	3088912	552			derived
Asteraceae	Dubautia_laxa	3134895	574			derived
Asteraceae	Helichrysum_trilineatum	3131483	575			derived
