allmb_name	woody
Acaena elongata	0
Acaena splendens	1
Acanthophyllum laxiflorum	0
Acanthoprasium frutescens	0
Acanthospermum hispidum	1
Achimenes longiflora	1
Acrotome inflata	1
Adenogramma glomerata	1
Adenophyllum cooperi	0
Adenophyllum porophyllum	1
Adenostyles alliariae	1
Aeonium korneliuslemsii	0
Aethionema saxatile	0
Agalmyla parasitica	1
Ageratum conyzoides	1
Aichryson laxum	1
Alchemilla cryptantha	1
Alchemilla ellenbeckii	1
Alchemilla johnstonii	0
Alchemilla polylepis	0
Alchemilla subnivalis	0
Alchemilla verticillata	2
Alectra sessiliflora	1
Allenrolfea occidentalis	0
Alliaria petiolata	1
Alyssoides cretica	0
Alyssum alyssoides	1
Alyssum dasycarpum	1
Alyssum desertorum	1
Alyssum lenense	0
Alyssum montanum	0
Alyssum serpyllifolium	0
Amaranthus retroflexus	1
Amblyopappus pusillus	1
Anabasis articulata	0
Anastatica hierochuntica	1
Andinocleome lechleri	0
Andinocleome pilosa	1
Angelonia campestris	0
Angelonia integerrima	1
Arabidella trisecta	0
Arabis hirsuta	1
Aragoa abietina	0
Arctotis cuprea	0
Arctotis stoechadifolia	1
Arcytophyllum nitidum	0
Argyranthemum frutescens	0
Argyreia nervosa	0
Argyroderma fissum	1
Argyroxiphium sandwicense	0
Aristolochia maxima	2
Aristolochia rotunda	1
Asclepias albicans	0
Asclepias syriaca	1
Aster albescens var. albescens	0
Aster alpinus	1
Aster bellidiastrum	1
Atractylis humilis	1
Atriplex amnicola	2
Atriplex cinerea	0
Atriplex glauca	0
Atriplex halimus	0
Atriplex littoralis	2
Atriplex prostrata	1
Atriplex semibaccata	1
Atriplex stipitata	0
Aurinia saxatilis	0
Azorina vidalii	0
Baccharis salicifolia	2
Bahia ambrosioides	2
Ballota hirsuta	2
Ballota nigra subsp. uncinata	1
Basistemon spinosus	0
Bassia laniflora	1
Bassia scoparia	2
Begonia dichotoma	0
Begonia fruticosa	0
Begonia glabra	1
Begonia isoptera	1
'Begonia meyeri-johannis'	0
Begonia oxyloba	1
Begonia reniformis	0
Bellis perennis	1
Berteroa incana	1
Besleria notabilis	0
Besleria solanoides	0
Bidens menziesii subsp. menziesii	0
Bidens pilosa	1
Bidens segetum	0
Bidens tripartita	1
Bistorta affinis	0
Bistorta vivipara	1
Blepharodon mucronatum	1
'Blitum bonus-henricus'	0
Blitum californicum	0
Bocconia frutescens	0
Boechera koehleri	0
Boechera lemmonii	1
Boechera perennans	1
Boechera pulchra var. pallens	0
Boechera stricta	1
Bornmuellera tymphaea	0
Borreria alata	1
Bosea yervamora	0
Brandisia hancei	0
Brassica balearica	0
Brassica insularis	0
Brassica oleracea	0
