allmb_name	gbif_species_key	num_occurrences	myco_state
Vachellia_campechiana	7266124	1021	arbuscular
Vachellia_macracantha	3795445	1793	ecto
Vachellia_constricta	3795576	1184	arbuscular
Acacia_anegadensis			neither
Senegalia_senegal	3977346	3425	ecto
Senegalia_catechu	3796190	398	arbuscular
Zygia_racemosa	5580471	535	arbuscular
Zygia_longifolia	5347452	1295	neither
Albizia_corniculata	2972934	505	arbuscular
Albizia_myriophylla	2973009	164	neither
Archidendron_turgidum	2941467	106	arbuscular
Archidendron_ellipticum	8638856	457	arbuscular
Archidendron_lucidum	2941456	810	neither
Pithecellobium_clypearia	2941309	2140	arbuscular
Albizia_polycephala	2973294	1288	neither
Balizia_pedicellaris	2973147	1348	arbuscular
Hydrochorea_corymbosa	2977475	1310	neither
Havardia_albicans	2933859	641	arbuscular
Pithecellobium_unguis-cati	2962854	1904	neither
Viguieranthus_longiracemosus	2967957	12	arbuscular
Cojoba_arborea	2981383	1603	neither
Faidherbia_albida	5360150	2058	arbuscular
Inga_ruiziana	5357975	6859	neither
Acaciella_angustissima	2981071	6414	ecto
Calliandra_brevipes	2981785	913	arbuscular
Calliandra_bella	2981924	277	neither
Calliandra_parvifolia	2981824	699	ecto
Calliandra_trinervia	2982031	1120	neither
Calliandra_eriophylla	2982181	1674	arbuscular
Calliandra_carbonaria	2982031	1120	neither
Senegalia_visco	9657641	327	arbuscular
Mariosousa_dolichostachya	3794908	456	ecto
Albizia_inundata	2973063	972	arbuscular
Stryphnodendron_adstringens	2951737	1476	arbuscular
Parapiptadenia_pterosperma	2941639	397	neither
Parkia_ulei	5348860	373	arbuscular
Pseudopiptadenia_psilostachya	2952915	797	neither
Mimosa_polyantha	2969577	668	arbuscular
Pseudopiptadenia_contorta	2952922	1134	neither
Mimosa_pudica	2969284	8634	arbuscular
Parkia_multijuga	5348884	452	arbuscular
Prosopis_juliflora	5358460	4453	arbuscular
Prosopis_velutina	5358538	1375	neither
Prosopis_nigra	5358478	428	arbuscular
Prosopis_articulata	5358550	179	arbuscular
Prosopis_africana	5358514	3239	neither
Leucaena_retusa	2970404	297	arbuscular
Acacia_torulosa	2980904	1721	ecto
Cylicodiscus_gabunensis	2977092	281	arbuscular
Fillaeopsis_discophora	2981414	364	arbuscular
Elephantorrhiza_elephantina	2933010	705	arbuscular
Entada_polystachya	2976206	1487	neither
Calpocalyx_dinklagei	2932964	632	arbuscular
Xylia_evansii	2943690	259	neither
Adenanthera_pavonina	2951846	1902	arbuscular
Adenanthera_microsperma	2951851	423	neither
Adenanthera_malayana	2951860	44	arbuscular
Amblygonocarpus_andongensis	2975852	417	arbuscular
Pachyelasma_tessmannii	2944797	170	arbuscular
Erythrophleum_chlorostachys	2971187	9224	neither
Burkea_africana	5348890	5546	arbuscular
Parkinsonia_aculeata	5357217	7009	arbuscular
Tachigali_peruviana	2952587	1818	neither
Caesalpinia_pulcherrima	2958715	5018	arbuscular
Chamaecrista_mimosoides	2949769	9981	arbuscular
Chamaecrista_adiantifolia	2950290	456	neither
Cassia_fistula	5357108	2375	arbuscular
Batesia_floribunda	5357360	410	arbuscular
Melanoxylon_brauna	2945499	607	neither
Vouacapoua_pallidior	2940385	119	arbuscular
Haematoxylum_campechianum	2950903	2372	arbuscular
Ceratonia_siliqua	5356354	35327	arbuscular
Gymnocladus_assamicus	2944213	2	arbuscular
Dialium_guianense	2971008	3483	arbuscular
Cercis_canadensis	5353583	10420	arbuscular
Aphanocalyx_microphyllus_subsp._microphyllus	2954240	608	ecto
Brachystegia_boehmii	2952673	1840	ecto
Brachystegia_spiciformis	2952670	5318	both
Microberlinia_brazzavillensis	2941147	137	ecto
Oddoniodendron_normandii	2959962	35	ecto
Peltogyne_paniculata_subsp._pubescens	2952728	815	arbuscular
Isoberlinia_doka	2976331	4171	ecto
Gilbertiodendron_ogoouense	2941685	338	ecto
Plagiosiphon_emarginatus	2961132	313	arbuscular
Librevillea_klainei	2941198	473	ecto
Brownea_grandiceps	2970463	623	arbuscular
Dicymbe_uaiparuensis	2965715	87	ecto
Tamarindus_indica	2975768	7297	arbuscular
Afzelia_africana	5358300	4802	ecto
Paramacrolobium_coeruleum	2962899	501	ecto
Cynometra_retusa	2966937	332	arbuscular
Hymenostegia_pellegrinii	2963364	266	arbuscular
Cynometra_megalophylla	2966854	451	arbuscular
Daniellia_oliveri	2948733	4960	arbuscular
Macrolobium_acaciifolium	2948882	1865	arbuscular
Detarium_microcarpum	2961176	6085	arbuscular
Saraca_declinata	5359533	806	arbuscular
Intsia_bijuga	2963211	2083	ecto
Schotia_brachypetala	2959242	824	arbuscular
Cryptosepalum_tetraphyllum	2956480	205	ecto
Polygala_comosa	7293616	26653	arbuscular
Polygala_amara	4051803	5353	neither
Polygala_calcarea	8169088	19060	arbuscular
