allmb_name	gbif_species_key	num_occurrences	woody_state
Stanleya_pinnata	5373733	2224	derived
Streptanthus_tortuosus	3041559	1423	non-woody
Hesperidanthus_jaegeri	3047787	32	derived
Thysanocarpus_curvipes	3051417	3376	non-woody
Mostacillastrum_orbignyanum	3041246	148	derived
Mathewsia_incana	5377664	51	derived
Streptanthella_longirostris	3041931	1071	non-woody
Brassica_oleracea	3042845	33058	derived
Brassica_rapa_subsp._oleifera	7903057	49984	non-woody
Brassica_insularis	3042880	511	derived
Brassica_macrocarpa	3042797	79	derived
Brassica_balearica	3042911	244	derived
Brassica_spinescens	3042913	77	derived
Erucastrum_meruense	5375531	14	derived
Erucastrum_nasturtiifolium	5375555	10979	non-woody
Moricandia_arvensis	5376035	5023	derived
Eruca_vesicaria_subsp._sativa	5375920	12730	non-woody
Zilla_spinosa_subsp._spinosa	5376128	1100	derived
Sinapidendron_frutescens	3047763	97	derived
Sinapis_arvensis	3047598	202691	non-woody
Crambe_santosii	5373526	93	derived
Crambe_maritima	5373533	13358	non-woody
Crambe_strigosa	5373547	318	derived
Vella_spinosa	5375666	1365	derived
Carrichtera_annua	5375285	20245	non-woody
Hemicrambe_fruticulosa	3048696	46	derived
Thlaspi_apterocarpum	3052731	11	derived
Thlaspi_arvense	3047598	202691	non-woody
Elburzia_fenestrata	5376048	20	derived
Alliaria_petiolata	5376075	208120	non-woody
Cremolobus_peruvianus	3041482	120	derived
Kernera_saxatilis_subsp._boissieri	5374828	12429	non-woody
Iberis_saxatilis	5377289	3983	derived
Iberis_amara	5377163	8657	non-woody
Iberis_sempervirens	5551241	3275	derived
Draba_stylosa	3050305	18	derived
Draba_aretioides	3049764	30	non-woody
Draba_hallii	3049894	124	derived
Draba_chionophila	3049589	12	non-woody
Draba_lindenii	3050249	38	derived
Draba_pulvinata_subsp._pulvinata	3050227	33	derived
Draba_cocuyana	3049446	16	derived
Draba_aizoides	3049799	16005	non-woody
Dendroarabis_fruticulosa	3040783	67	derived
