allmb_name	crop_state	gbif_species_key	myco_state	num_occurrences	woody_state
Bulbostylis_capillaris		7771445	neither	1131	
Bulbostylis_densa		5292267	arbuscular	2256	
Bupleurum_canescens_var._handiense		3638501		49	derived
Bupleurum_falcatum		6027105		42569	non-woody
Bupleurum_fruticescens_subsp._spinosum		6027094		16906	non-woody
Bupleurum_salicifolium		7605240		313	derived
Bupleurum_tenuissimum		3635987		8086	ancestral
Burkea_africana		5348890	arbuscular	5546	
Burmeistera_cyclostigmata		3161658		786	derived
Caesalpinia_pulcherrima		2958715	arbuscular	5018	
Cajanus_cajan		2960383	arbuscular	39764	
Calamagrostis_arundinacea		4109084	arbuscular	60578	
Calamagrostis_canadensis		2704895	arbuscular	9456	
Calamagrostis_canescens		4108861	neither	100141	
Calamagrostis_pseudophragmites		4108217	arbuscular	3934	
Calamagrostis_stricta_subsp._inexpansa		2704899	arbuscular	11199	
Calciphila_gillettii		3621298		2	derived
Calea_jamaicensis		3147667		919	derived
Calea_ternifolia		8388990		1738	non-woody
Calla_palustris		2869101	neither	40306	
Calliandra_bella		2981924	neither	277	
Calliandra_brevipes		2981785	arbuscular	913	
Calliandra_carbonaria		2982031	neither	1120	
Calliandra_eriophylla		2982181	arbuscular	1674	
Calliandra_parvifolia		2981824	ecto	699	
Calligonum_comosum		8082975		416	derived
Calluna_vulgaris		2882482	neither	483866	
Calotropis_procera		5414566		6100	derived
Calpocalyx_dinklagei		2932964	arbuscular	632	
Calycophysum_pedunculatum		7317788		150	non-woody
Campanula_fragilis		5410186	arbuscular	280	
Campanula_hohenackeri		5410717	neither	2263	
Campanula_lasiocarpa		5411731	arbuscular	1912	
Campanula_patula		5410564	arbuscular	77588	
Campanula_rapunculoides		5410436	arbuscular	54140	
Campanula_scheuchzeri		5410226	both	22548	
Camphorosma_lessingii		6035827		3323	derived
Campylanthus_salsoloides		8164714		360	derived
Canavalia_acuminata		2962165	neither	113	
Canavalia_rosea		2962021	arbuscular	5275	
Caragana_pygmaea		2943272	arbuscular	429	
Cardamine_dentata		7972010	neither	364293	non-woody
Carduus_nutans		8185959	arbuscular	50669	
Carex_aquatilis		2724150	neither	35480	
Carex_baccans		2727853	arbuscular	1056	
Carex_bicknellii		2725637	arbuscular	1193	
Carex_blanda		2728993	arbuscular	6587	
Carex_brunnescens		2728226	arbuscular	39353	
Carex_canescens		2722942	neither	120461	
Carex_caryophyllea		2727655	neither	80464	
Carex_cephalophora		2724783	arbuscular	3817	
Carex_cristatella		2725051	arbuscular	2630	
Carex_divulsa		2722914	arbuscular	28442	
Carex_enervis		2729929	neither	146	
Carex_halleriana		2723055	neither	42644	
Carex_lupulina		2727232	neither	5407	
Carex_lurida		2722529	arbuscular	6736	
Carex_nigra		2724925	arbuscular	297086	
Carex_pensylvanica		2724855	arbuscular	4422	
Carex_pilulifera		2726614	neither	148587	
Carex_rostrata		2726725	neither	181086	
Carex_sempervirens		2722326	arbuscular	46055	
Carex_speciosa		2723697	arbuscular	227	
Carex_spicata		2722210	neither	50040	
Carex_stipata		2725605	arbuscular	7370	
