taxon_name,decimal_longitude,gbif_id,decimal_latitude
Liquidambar_styraciflua,-86.328389,2269024325,13.726306
Liquidambar_styraciflua,-86.446667,2269023493,13.700583
Liquidambar_styraciflua,-78.69967,1851988566,35.79425
Liquidambar_styraciflua,-83.5813,2248087307,37.90165
Liquidambar_styraciflua,-86.457917,2268863113,13.741722
Liquidambar_styraciflua,-49.1258,1587298240,-25.3867
Liquidambar_styraciflua,-83.5807,1978007578,37.9017
Liquidambar_styraciflua,-85.906861,2268833685,13.033389
Liquidambar_styraciflua,174.725833,1897830747,-36.760833
Liquidambar_styraciflua,-86.171528,1264718670,13.963472
Liquidambar_styraciflua,-119.613797,1658232437,49.494733
Liquidambar_styraciflua,-90.038055,1269532529,37.101111
Liquidambar_styraciflua,-85.7,2268920115,13.25
Liquidambar_styraciflua,-89.40278,1585306834,14.3825
Liquidambar_styraciflua,-82.9578,1988984883,42.3446
Liquidambar_styraciflua,-83.4528,1988603948,42.3261
Liquidambar_styraciflua,-73.971676,1930522266,40.778348
Liquidambar_styraciflua,-86.435278,2268848109,13.731889
Liquidambar_styraciflua,-85.981972,1258104226,13.817639
Liquidambar_styraciflua,-86.314111,1258104190,13.760278
Liquidambar_styraciflua,-95.925694,1897487509,17.393056
Liquidambar_styraciflua,-95.203139,1897487494,16.83925
Liquidambar_styraciflua,-95.892055,1897487474,17.46575
Liquidambar_styraciflua,-90.260833,1258157218,38.613889
Liquidambar_styraciflua,-75.5325,1929068041,38.2169
Liquidambar_styraciflua,174.728333,1843473935,-36.844278
Liquidambar_styraciflua,-75.455,1930594413,38.2919
Liquidambar_styraciflua,-75.4653,1931214322,38.2642
Liquidambar_styraciflua,-75.44,1927885892,38.1725
Liquidambar_styraciflua,-75.7892,1930441588,38.4861
Liquidambar_styraciflua,-75.4708,1931010589,38.2011
Liquidambar_styraciflua,-75.3683,1930080521,37.8958
Liquidambar_styraciflua,-75.4808,1927829058,38.2603
Liquidambar_styraciflua,-75.3639,1928371153,38.2225
Liquidambar_styraciflua,-75.7931,1928078302,38.4858
Liquidambar_styraciflua,-75.3472,1930498920,37.9125
Liquidambar_styraciflua,-75.2572,1928004068,38.4986
Liquidambar_styraciflua,174.787972,1843473789,-36.894611
Liquidambar_styraciflua,-75.6389,1930555123,38.0364
Liquidambar_styraciflua,-75.4533,1929869738,38.2781
Liquidambar_styraciflua,-75.4647,1928760606,38.24
Liquidambar_styraciflua,-75.4628,1928932878,38.2628
Liquidambar_styraciflua,-75.4786,1928400326,38.3344
Liquidambar_styraciflua,-75.2886,1931066534,37.9836
Liquidambar_styraciflua,-81.992556,1457771814,29.704361
Liquidambar_styraciflua,-81.968944,1457822966,29.71025
Liquidambar_styraciflua,-75.6847,1929367063,39.3403
Liquidambar_styraciflua,-75.7222,1928121801,38.5264
Liquidambar_styraciflua,-75.0558,1931059798,38.4978
Liquidambar_styraciflua,-75.4389,1931082284,38.7803
Liquidambar_styraciflua,-75.8792,1929732842,38.5564
Liquidambar_styraciflua,-75.7236,1929217275,38.5256
Liquidambar_styraciflua,-75.32,1929973389,38.4656
Liquidambar_styraciflua,-75.3178,1930550233,38.4561
Liquidambar_styraciflua,-82.026194,1457782667,29.696194
Liquidambar_styraciflua,-76.10389,1928361692,38.82
Liquidambar_styraciflua,-75.1053,1929384897,38.7703
Liquidambar_styraciflua,-81.972167,1457764153,29.716722
Liquidambar_styraciflua,-75.7442,1928435987,39.3494
Liquidambar_styraciflua,-75.3944,1930939038,38.7494
Liquidambar_styraciflua,-87.437862,1899880493,32.916099
Liquidambar_styraciflua,-87.429665,1899880397,32.955309
Liquidambar_styraciflua,-87.408998,1899880658,32.964648
Liquidambar_styraciflua,-87.438416,1899881762,32.91588
Liquidambar_styraciflua,-87.41964,1899881997,32.925877
Liquidambar_styraciflua,-87.385687,1899880951,32.920254
Liquidambar_styraciflua,-76.9664,1322290936,38.9102
Liquidambar_styraciflua,-76.97,2308192273,38.91
Liquidambar_styraciflua,-73.8817,1927823128,40.8664
Liquidambar_styraciflua,-74.094861,1702533113,4.663039
Liquidambar_styraciflua,-77.887361,2234364821,36.247
Liquidambar_styraciflua,-78.00775,2234527693,36.148361
Liquidambar_styraciflua,-95.989361,1897487463,17.245361
Liquidambar_styraciflua,-95.935167,1897487475,17.170417
Liquidambar_styraciflua,-96.406778,1897487471,17.625333
Liquidambar_styraciflua,-77.2458,1456021496,38.6461
Liquidambar_styraciflua,-96.422944,1897487492,17.620361
Liquidambar_styraciflua,-96.68725,1897487496,17.794472
Liquidambar_styraciflua,-96.6675,1897487560,17.996972
Liquidambar_styraciflua,-96.765111,1897487550,17.938444
Liquidambar_styraciflua,-77.2377,1456341089,38.647
Liquidambar_styraciflua,-78.49049,1990182175,34.25747
Liquidambar_styraciflua,-96.756472,1897487478,17.9445
Liquidambar_styraciflua,-94.706972,1897487437,16.759417
Liquidambar_styraciflua,-85.1992,1503275300,30.1372
Liquidambar_styraciflua,-81.9575,1503273255,27.6219
Liquidambar_styraciflua,-78.39181,1990182402,34.66265
Liquidambar_styraciflua,-80.5666,1849106631,33.9566
Liquidambar_styraciflua,-96.873833,1897487535,18.204667
Liquidambar_styraciflua,-96.862778,1897487482,18.187583
Liquidambar_styraciflua,-78.49125,1990182248,34.25743
Liquidambar_styraciflua,-81.815,1503275151,27.6183
Liquidambar_styraciflua,-96.258805,1897487512,17.447639
Liquidambar_styraciflua,-93.163639,2268872987,17.131556
Liquidambar_styraciflua,-96.079639,1897487499,17.325278
