taxon_name,gbif_id,decimal_latitude,decimal_longitude
Prosopis_nigra,2251616664,-29.806111,-64.710556
Prosopis_nigra,2251615835,-30.271389,-63.806667
Prosopis_nigra,2251616750,-29.730556,-64.559167
Prosopis_nigra,2251617320,-28.916944,-65.498333
Prosopis_nigra,2251616934,-31.649722,-64.257778
Prosopis_nigra,2251615063,-30.714167,-65.059722
Prosopis_nigra,1086965968,-25.08,-64.205556
Prosopis_nigra,1260293391,-23.92722,-58.58083
Prosopis_nigra,1056869419,-25.972778,-58.199444
Prosopis_nigra,1257593952,-24.273333,-58.650278
Prosopis_nigra,1260331275,-20.73944,-64.99055
Prosopis_nigra,2251612606,-25.150278,-61.322778
Prosopis_nigra,1055397257,-26.133611,-58.826944
Prosopis_nigra,1260527597,-26.13361,-58.82694
Prosopis_nigra,1259740399,-31.38333,-58.95
Prosopis_nigra,1056249600,-23.897222,-58.589722
Prosopis_nigra,1260293560,-23.89722,-58.58972
Prosopis_nigra,1259740423,-22.1,-62.81666
Prosopis_nigra,1259740412,-25.05,-66.2
Prosopis_nigra,1259712763,-22.26666,-62.7
Prosopis_nigra,1259647333,-26.233333,-58.633333
Prosopis_nigra,2270511033,-28.55,-57.1
Prosopis_nigra,1259595554,-24.58333,-65.06666
Prosopis_nigra,1259515407,-22.6125,-58.47333
Prosopis_nigra,1259515418,-22.36333,-57.22055
Prosopis_nigra,1563327951,-28.38,-64.77
Prosopis_nigra,1259714164,-28.38333,-64.76666
Prosopis_nigra,1259647335,-24,-61.9
Prosopis_nigra,1259647268,-24.2,-60.16666
Prosopis_nigra,1259515398,-22.8175,-58.44
Prosopis_nigra,1259515414,-23.2,-59.18333
Prosopis_nigra,1259515382,-23.23333,-59.58333
Prosopis_nigra,1259515413,-23.68916,-59.85972
Prosopis_nigra,1259515394,-23.28555,-58.96555
Prosopis_nigra,1258230732,-19.91666,-62.51666
Prosopis_nigra,1144743509,-22.3,-59.95
Prosopis_nigra,1259478317,-25.55,-63.33333
Prosopis_nigra,1144745788,-24.78333,-65.01667
Prosopis_nigra,1144745764,-24.76667,-65.3
Prosopis_nigra,1144743474,-21.25,-61.61667
Prosopis_nigra,1261757286,-24.25,-58.33333
Prosopis_nigra,1087334615,-22.333333,-60.083333
Prosopis_nigra,1144743480,-22.35,-60.05
Prosopis_nigra,2251611684,-27.880833,-64.426944
Prosopis_nigra,1144743481,-24.96667,-57.68333
Prosopis_nigra,1261828052,-24.516667,-58.666667
Prosopis_nigra,1087334664,-24.916667,-57.666667
Prosopis_nigra,2251612172,-27.840556,-58.675556
Prosopis_nigra,2251616577,-31.390833,-64.190833
Prosopis_nigra,1057567782,-23.236211,-58.391024
Prosopis_nigra,1144743465,-23.56667,-59.56667
Prosopis_nigra,2251614757,-25.946111,-62.816667
Prosopis_nigra,2251614982,-27.531667,-66.349167
Prosopis_nigra,2251614632,-28.404167,-65.727222
Prosopis_nigra,2251613438,-28.085833,-65.656667
Prosopis_nigra,2251614394,-31.334722,-64.292778
Prosopis_nigra,2251614761,-29.0475,-62.736667
Prosopis_nigra,1228264962,-28,-63.5
Prosopis_nigra,2251615037,-31.615,-64.383611
Prosopis_nigra,2251616963,-32.316944,-66.933333
Prosopis_nigra,2251614830,-31.438056,-64.116944
Prosopis_nigra,2251612521,-31.372778,-64.296111
Prosopis_nigra,1228538813,-30,-67.5
Prosopis_nigra,1258306716,-22.33333,-57.91666
Prosopis_nigra,1144745814,-24.28333,-64.71667
Prosopis_nigra,1259478278,-27.33333,-58.93333
Prosopis_nigra,1090547869,-27.4868,-58.8176
